"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","APRS - Analog","146.500 aprs|144.39 aprs Rx|4.39 Alert 100.0","146.5|144.39|144.39","146.5|144.39|144.39","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"2","Alaska","Alaska","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"3","Alberta","Alberta|Alberta","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"4","Arizona","Arizona","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"5","Audio Test","Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test|Audio Test","440.7375|440.925|146.5|440.7|444.025|442.75|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|440.725|434|440.7125|444.15|440.625|442.95|442.95|147.4125|442.025|147.02|444.125|147.4125|444.15|440.725|147.4125|443.75","440.7375|445.925|147.5|445.7|449.025|447.75|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|445.725|434|445.7125|449.15|445.625|447.95|447.95|146.4125|447.025|147.62|449.125|146.4125|449.15|445.725|146.4125|448.75","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"6","BC 1","BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1|BC 1","440.7375|440.925|146.5|440.7|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|443.4|444.6|440.7125|444.15|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|448.4|449.6|445.7125|449.15|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"7","BC 2","BC 2|BC 2","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"8","BC Local Net 1","BC Local Net 1|BC Local Net 1","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"9","BayNet","BayNet","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"10","Bridge","Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge|Bridge","440.7375|440.925|146.5|440.7|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.6|440.7125|444.15|147.4125|441.2875|441.325|442.025|147.02|440.725|147.4125|443.75","440.7375|445.925|147.5|445.7|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.6|445.7125|449.15|146.4125|446.2875|446.325|447.025|147.62|445.725|146.4125|448.75","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"11","Bridge 2 103100","Bridge 2 103100","443.4","448.4","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"12","California 1","California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1|California 1","440.7375|440.925|146.5|440.7|440.925|147.4125|441.35|440.375|444.7125|433.15|145.51|434|440.7125|444.15|147.4125|441.2875|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|445.925|146.4125|446.35|445.375|449.7125|449.65|147.51|434|445.7125|449.15|146.4125|446.2875|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"13","Canada","Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada","440.7375|440.925|146.5|440.7|440.925|147.4125|441.35|440.375|433.15|145.51|443.4|444.6|440.7125|147.4125|441.2875|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|445.925|146.4125|446.35|445.375|449.65|147.51|448.4|449.6|445.7125|146.4125|446.2875|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"14","Cascades East","Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East|Cascades East","434|440.925|440.925|147.4125|440.375|433.15|145.51|440.725|434|433|441.325|442.025|147.02|444.125|147.4125|444.15|434|147.4125|443.75|147.12","434|445.925|445.925|146.4125|445.375|449.65|147.51|445.725|434|440|446.325|447.025|147.62|449.125|146.4125|449.15|434|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"15","Colorado HD","Colorado HD","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"16","Comm 1","Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1|Comm 1","440.7375|440.925|146.5|440.7|440.925|441.35|440.375|433.15|145.51|443.4|444.6|440.7125|444.15|147.4125|441.2875|147.02|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|445.925|446.35|445.375|449.65|147.51|448.4|449.6|445.7125|449.15|146.4125|446.2875|147.62|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"17","Comm 2","Comm 2|Comm 2|Comm 2|Comm 2|Comm 2|Comm 2|Comm 2|Comm 2|Comm 2","441.35|433.15|145.51|443.4|444.6|444.15|441.2875|147.4125|147.12","446.35|449.65|147.51|448.4|449.6|449.15|446.2875|146.4125|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"18","DCI 1","DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1|DCI 1","440.7375|440.925|146.5|440.7|440.925|441.35|440.375|433.15|145.51|443.4|444.6|440.7125|444.15|147.4125|441.2875|440.725|443.75","440.7375|445.925|147.5|445.7|445.925|446.35|445.375|449.65|147.51|448.4|449.6|445.7125|449.15|146.4125|446.2875|445.725|448.75","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"19","DCI 2","DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2|DCI 2","440.7375|440.925|146.5|440.7|440.925|441.35|440.375|433.15|145.51|443.4|444.6|440.7125|444.15|147.4125|441.2875|440.725|443.75","440.7375|445.925|147.5|445.7|445.925|446.35|445.375|449.65|147.51|448.4|449.6|445.7125|449.15|146.4125|446.2875|445.725|448.75","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"20","DMR APRS","BM 431 TS2|BM 432 TS2|BM 433 TS2|BM 434 TS1|BM 434 TS2|BM 435 TS2","431|432|433|434|434|435","431|432|433|434|434|435","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"21","Em Comm 1","Em Comm 1","440.375","445.375","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"22","EmComm 2","EmComm 2","440.375","445.375","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"23","English PTT 113","English PTT 113|English PTT 113","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"24","English PTT 123","English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123|English PTT 123","440.7375|440.925|146.5|440.7|440.925|441.35|444.7125|441.7|433.15|145.51|443.4|444.6|440.7125|444.15|441.2875|441.325|442.025|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|445.925|446.35|449.7125|446.7|449.65|147.51|448.4|449.6|445.7125|449.15|446.2875|446.325|447.025|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"25","Fusion","Fusion|Fusion|Fusion|Fusion|Fusion","441.35|433.15|145.51|441.2875|440.725","446.35|449.65|147.51|446.2875|445.725","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"26","Hawaii","Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii|Hawaii","146.5|440.7|441.35|440.375|444.7125|441.7|433.15|145.51|434|440.7125|444.15|441.2875|444.15|440.725|147.12","147.5|445.7|446.35|445.375|449.7125|446.7|449.65|147.51|434|445.7125|449.15|446.2875|449.15|445.725|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"27","Hawaii 31150","Hawaii 31150|Hawaii 31150|Hawaii 31150|Hawaii 31150","440.7375|440.925|444.125|147.4125","440.7375|445.925|449.125|146.4125","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"28","I5","I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5|I5","440.7375|440.925|146.5|440.7|434|444.025|442.75|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|443.4|440.725|444.6|440.7125|444.15|440.625|442.95|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|440.725|434","440.7375|445.925|147.5|445.7|434|449.025|447.75|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|448.4|445.725|449.6|445.7125|449.15|445.625|447.95|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|445.725|434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"29","Idaho 1","Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1|Idaho 1","440.7375|440.925|146.5|434|440.925|440.925|147.4125|441.35|440.375|433.15|145.51|440.725|434|440.7125|434|433|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|434|440.725|147.4125|147.12","440.7375|445.925|147.5|434|445.925|445.925|146.4125|446.35|445.375|449.65|147.51|445.725|434|445.7125|434|440|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|434|445.725|146.4125|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"30","Idaho ARES","Idaho ARES","440.925","445.925","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"31","Local 1","Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1|Local 1","440.7375|440.925|146.5|440.7|444.025|442.75|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|440.725|440.7125|444.15|440.625|442.95|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|449.025|447.75|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|445.725|445.7125|449.15|445.625|447.95|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"32","Local 2","Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2|Local 2","440.7375|440.925|146.5|440.7|434|444.025|442.75|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|440.725|440.7125|444.15|440.625|442.95|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|434|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|434|449.025|447.75|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|445.725|445.7125|449.15|445.625|447.95|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|434|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"33","MPRG","MPRG|MPRG|MPRG|MPRG|MPRG|MPRG","434|440.925|433.15|145.51|434|434","434|445.925|449.65|147.51|434|434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"34","MTN 2","MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2","440.925|441.35|444.7125|441.7|433.15|145.51|434|444.15|441.2875|444.125|147.4125|444.15|147.4125|147.12","445.925|446.35|449.7125|446.7|449.65|147.51|434|449.15|446.2875|449.125|146.4125|449.15|146.4125|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"35","Manitoba","Manitoba|Manitoba","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"36","Michigan 1","Michigan 1|Michigan 1|Michigan 1|Michigan 1|Michigan 1","441.35|433.15|145.51|434|441.2875","446.35|449.65|147.51|434|446.2875","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"37","Michigan 2","Michigan 2|Michigan 2","433.15|145.51","449.65|147.51","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"38","Minnesota","Minnesota","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"39","Montana 2","Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2","440.7375|440.925|146.5|440.7|440.925|440.925|147.4125|441.35|440.375|433.15|145.51|434|440.7125|444.15|147.4125|441.2875|434|440.725|147.4125|147.12","440.7375|445.925|147.5|445.7|445.925|445.925|146.4125|446.35|445.375|449.65|147.51|434|445.7125|449.15|146.4125|446.2875|434|445.725|146.4125|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"40","NXDN Alabama","NXDN Alabama","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"41","NXDN Florida","NXDN Florida","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"42","NXDN N America","NXDN N America","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"43","NXDN Ragchew","NXDN Ragchew","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"44","NXDN Worldwide","NXDN Worldwide","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"45","Net 2","Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2","440.7375|146.5|440.7|440.925|440.925|147.4125|441.35|440.375|433.15|145.51|440.725|440.7125|444.15|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|440.725|147.4125|443.75|147.12","440.7375|147.5|445.7|445.925|445.925|146.4125|446.35|445.375|449.65|147.51|445.725|445.7125|449.15|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"46","New Brunswick","New Brunswick|New Brunswick","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"47","NoCO","NoCO","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"48","NorCal","NorCal","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"49","North America","North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America","440.7375|440.925|146.5|440.7|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|443.4|444.6|434|440.7125|444.15|147.4125|441.2875|444.125|147.4125|444.15|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|448.4|449.6|434|445.7125|449.15|146.4125|446.2875|449.125|146.4125|449.15|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"50","Ontario","Ontario|Ontario","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"51","Oregon 1","Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1","440.7375|440.925|146.5|440.7|434|444.025|442.75|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|440.725|434|440.7125|444.15|440.625|442.95|433|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|440.725|147.4125|443.75|434|147.12","440.7375|445.925|147.5|445.7|434|449.025|447.75|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|445.725|434|445.7125|449.15|445.625|447.95|440|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|445.725|146.4125|448.75|434|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"52","PNW 1","PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1","440.7375|440.925|146.5|440.7|434|444.025|442.75|440.925|440.925|147.4125|441.35|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|443.4|440.725|444.6|440.7125|444.15|440.625|442.95|433|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|434|440.725|147.4125|443.75|434|147.12","440.7375|445.925|147.5|445.7|434|449.025|447.75|445.925|445.925|146.4125|446.35|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|448.4|445.725|449.6|445.7125|449.15|445.625|447.95|440|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|434|445.725|146.4125|448.75|434|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
